,KIC,Teff,eTeff,age,loage,upage,modmass,lomodmass,upmodmass,feh,efeh,modlogg,upmodlogg,lomodlogg,nus*,l_nus*,u_nus*,i,l_i,u_i,P,l_P,u_P,flag,hrclass,source
48,8394589,6143,77,4.4537,0.8304,0.9422,1.0377,0.0285,0.0418,-0.29,0.1,4.3219,0.0077,0.0077,1.00505849735563,0.033870317474229,0.033664954116942,71.07435366968056,5.852258450247808,7.886360488124175,10.8624359022011,0.5630701551212579,0.60488480083264,0,MS,L
49,8424992,5719,77,9.612,1.7407,1.9164,0.9179999999999999,0.0399,0.0399,-0.12,0.1,4.3593,0.0066,0.0066,0.223741803275728,0.064185938034792,0.062140953646257005,59.135007747512,30.283048818557486,21.3359110237141,42.297176752209296,17.6510040428244,19.361062679843,1,MS,L
50,8494142,6144,106,2.62,0.24,0.26,1.4180000000000001,0.019,0.03,0.13,0.1,4.038,0.005,0.005,0.672011040980136,0.282954744768742,0.2184288103613,62.79423713265998,23.819323103741784,18.53286641900722,14.516514699214401,4.47302960359936,9.88500061737599,0,MS,K
51,8554498,5945,60,5.6,0.42,0.45,1.197,0.028999999999999998,0.021,0.17,0.05,4.007,0.003,0.003,0.24756597151037196,0.091355827320159,0.20725535975217999,48.14043298380504,36.64269676077152,30.027106121980566,35.7120687018896,31.391260356195396,25.611323441459398,0,MS,K
52,8694723,6246,77,4.6932,0.511,0.4791,1.1384,0.0209,0.0209,-0.42,0.1,4.1129,0.0088,0.0066,0.918544423900081,0.049620495585886,0.04686334638043,34.729051458117155,2.7188807615700914,3.3796445262045975,7.1714962676282505,0.642725085190977,0.805241020873677,0,MS,L
53,8760414,5873,77,11.6642,1.6059,1.2847,0.8115,0.0186,0.031,-0.92,0.1,4.3293,0.0047,0.0063,0.69191330746657,0.42138798438289704,0.258545771484598,7.616282346250612,1.7272623903378512,2.2763592145169684,2.00454764871191,0.403787822661341,4.48134240533435,2,MS,L
54,8866102,6325,75,2.6,0.53,0.56,1.228,0.04,0.042,0.01,0.1,4.262,0.006999999999999999,0.008,2.15419775905709,0.044129404778206,0.04261158533674,78.22482271399848,4.658403115370529,6.55250501356867,5.2564328906161295,0.154619769853904,0.15213563248613,0,H,K
55,8938364,5677,77,10.2508,0.6548,0.5589999999999999,0.9883,0.0095,0.0095,-0.13,0.1,4.1734,0.0022,0.0066,0.614729456428281,0.503991604613604,0.268374714778493,8.676839459629479,2.3182810086241803,57.462074051557714,2.03573489583204,0.199140986197274,86.9700720681831,2,MS,L
56,9025370,5270,180,6.5458,1.1339,1.2616,0.9693,0.0304,0.0304,-0.12,0.18,4.4231,0.0044,0.0066,0.42503008827134003,0.044852901188843,0.040484660840280996,67.52079674398816,19.14885803887872,15.182677105672035,24.7085969973177,4.67258175947279,3.67114013242517,0,MS,L
57,9098294,5852,77,8.0789,0.7346,0.9901,0.9693,0.0304,0.019,-0.18,0.1,4.3076,0.0066,0.0055,0.36279594323758796,0.036273888924104,0.036661415349798,58.21227228458444,16.33358326255883,21.01548648344207,27.213820303105503,6.99670800480455,5.748984813655059,0,MS,L
58,9139151,6302,77,1.3236,0.7506,0.9422,1.1783,0.0494,0.0399,0.1,0.1,4.3824,0.0077,0.0077,0.954872889062328,0.038871708584545,0.039101992214154994,73.539055882747,10.956384757998904,11.041159646075887,11.6113592084496,1.11858627628747,0.75234580993191,0,H,L
59,9139163,6400,84,1.5951,0.2236,0.2236,1.3987,0.0209,0.0304,0.15,0.09,4.1998,0.0077,0.0088,1.59278013274335,0.078029583151653,0.07247431290692301,33.48558045929117,3.018489972140349,3.0153346707304247,3.9929610068544705,0.29539386159705894,0.34072826047473803,1,H,L
60,9206432,6538,77,1.5312,0.3034,0.2076,1.3778,0.019,0.0418,0.16,0.1,4.2196,0.0066,0.0055,1.5527867679130802,0.195532050915352,0.16664862531124303,34.32918119739585,4.153939414231713,5.726867112105489,4.11938386535754,0.518026003299532,1.0453263497258,0,H,L
61,9353712,6278,77,2.154,0.1278,0.1118,1.5089,0.0209,0.0285,-0.05,0.1,3.9435,0.0055,0.0066,0.746194074261255,0.171421768425238,0.162208762966633,37.55573128905551,12.553469315912137,29.0741357426811,9.53236432089998,3.87249835418216,7.2709264349181995,0,H,L
62,9410862,6047,77,6.928999999999999,1.3255,1.4852,0.9693,0.0399,0.0494,-0.31,0.1,4.2999,0.0077,0.0088,0.41242214866091703,0.08439994644429401,0.08525528841443401,46.44441859725919,16.6917646561479,28.318051859819104,20.5778268322069,8.1492909528417,9.83955594841783,1,MS,L
63,9414417,6253,75,2.6491,0.1757,0.1597,1.3987,0.0304,0.019,-0.13,0.1,4.0161,0.0055,0.0055,1.08870993227171,0.048385118159837,0.04969234645763901,58.14569899866706,6.8866668068928645,9.654864235763148,9.01923627481572,0.9090380586350021,1.08186865551819,0,H,L
64,9592705,6174,92,2.33,0.16,0.18,1.5090000000000001,0.021,0.028999999999999998,0.22,0.1,3.9610000000000003,0.004,0.003,0.9254506106429151,0.087094716406691,0.086138237788563,59.30642921178708,12.099286929978133,17.8346060399346,10.7335604235957,1.94860063946761,2.06869177496363,0,SG,K
