,KIC,n,l,Freq,e_Freq,E_Freq,Amp,e_Amp,E_Amp,Width,e_Width,E_Width,l_lnK,lnK,source,f,f_e,g,g_e,A,A_e,H,H_e,flag
67,2837475,17,2,1424.33,1.69,1.57,,,,,,,,4.8,L,1427.0678788802018,0.5952829457458615,5.3729876808915975,0.35943556670326415,3.527530914229739,0.1382275693332,1.4751034128706952,0.157324120437989,
68,2837475,18,0,1432.09,0.48,0.55,3.55,0.13,0.12,6.1,0.56,0.81,>,6.0,L,1432.4237118388592,0.4837539541508013,5.516871971910725,0.373120708210452,3.203732182460432,0.15512091079656323,1.183175999177373,0.11772866382801911,
69,2837475,18,1,1468.42,0.31,0.35,,,,,,,>,6.0,L,1468.464044447182,0.23999047014245714,5.538847484790411,0.34019770905792046,4.715000635310561,0.10048476413728558,2.55616775553446,0.17430101054822317,
70,2837475,18,2,1501.73,1.07,1.19,,,,,,,,4.5,L,1503.851717310676,0.6124381467236657,5.678329653914195,0.36103211298552174,3.5310380129334717,0.1375030048628111,1.398885632240065,0.1407845721958427,
71,2837475,19,0,1509.39,0.35,0.33,3.65,0.13,0.12,5.83,0.72,0.8,>,6.0,L,1509.3930159626552,0.3904176783678017,5.758362579952356,0.35576001398166124,3.368571147206997,0.14094400472799756,1.254878485697255,0.1149441374386525,
72,2837475,19,1,1544.61,0.31,0.28,,,,,,,>,6.0,L,1544.725770590326,0.23467457893235794,5.9474918954799065,0.3432955107768136,5.049842593692376,0.0979592806201855,2.7301310367449054,0.1678463995196983,
73,2837475,19,2,1578.23,1.55,1.25,,,,,,,,4.27,L,1578.8931734070666,0.7739910098255636,6.2499662752480685,0.3744525585812829,3.6798753668221926,0.1447439980210542,1.3783015689013347,0.13656643848800173,
74,2837475,20,0,1585.55,0.4,0.46,4.02,0.13,0.12,6.95,0.85,0.74,>,6.0,L,1585.419624597453,0.41732668953380303,6.342650946623133,0.3652680644111786,3.6882790668041605,0.14948923499577138,1.3623561076803448,0.12158540459541173,
75,2837475,20,1,1620.5,0.31,0.31,,,,,,,>,6.0,L,1620.5071404281287,0.24158929850229524,6.437434806949595,0.36556134585311983,5.156914684272629,0.09898150683445427,2.6280519055919047,0.16105712199379663,
76,2837475,20,2,1654.17,0.98,1.23,,,,,,,,4.51,L,1655.2522491889981,0.5823621201027325,6.454834303337455,0.3896969876437307,3.692350121738163,0.14213051010884875,1.3476410776750631,0.13519116708710002,
