,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,evsini,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,vsini,G,bprp
65,12317678,6580,2.4574,63.464,77,0.025,0.1,5.5,0.5,-0.28,0.1757,0.0077,0.0095,0.018,4.048,1.3379,1.8154,1212.4,L,0.2236,0.0088,0.0399,0.018,8.4,8.649487,0.59700966
66,3425851,6343,3.32,92.6,85,1.5,0.1,60.0,0.5,-0.04,0.64,0.008,0.049,0.018,4.243,1.178,1.36,2038.0,K,0.85,0.008,0.049,0.015,9.5,10.550611,0.6510105
67,3544595,5669,6.63,145.77,75,0.45,0.1,81.0,0.5,-0.18,0.57,0.003,0.009,0.006,4.468,0.899,0.916,3366.0,K,0.62,0.003,0.009,0.006,2.0,9.862494,0.8673792
68,4141376,6134,3.27,128.8,91,1.3,0.1,97.0,0.5,-0.24,0.64,0.004,0.03,0.009,4.412,1.019,1.039,2928.0,K,0.59,0.003,0.021,0.009,3.5,11.014056,0.7210665
69,4143755,5622,11.27,77.2,106,1.3,0.11,57.0,0.6,-0.4,1.35,0.002,0.03,0.013,4.102,0.918,1.414,1458.0,K,1.5,0.001,0.021,0.012,2.2,11.92217,0.84471416
70,4349452,6270,3.45,98.27,79,0.57,0.1,50.0,0.5,-0.04,0.72,0.008,0.051,0.015,4.275,1.159,1.297,2106.0,K,0.81,0.007,0.04,0.015,11.1,10.63185,0.6769724
71,4914423,5845,6.67,81.5,88,1.6,0.11,56.0,0.7,0.07,0.62,0.004,0.03,0.009,4.155,1.099,1.45,1663.0,K,0.69,0.004,0.019,0.009,3.8,12.246649,0.8062382
72,5094751,5952,6.35,91.1,75,2.3,0.1,117.0,0.5,-0.08,1.05,0.007,0.04,0.018,4.213,1.068,1.339,1745.0,K,1.05,0.008,0.04,0.015,2.8,12.295469,0.7770834
73,5866724,6169,3.89,89.56,50,0.48,0.08,60.0,0.5,0.09,0.48,0.007,0.03,0.012,4.224,1.199,1.399,1880.0,K,0.59,0.005,0.029,0.012,11.9,10.965596,0.7067919
74,6196457,5871,5.52,66.6,94,1.1,0.11,53.0,0.6,0.17,0.48,0.005,0.03,0.012,4.049,1.209,1.716,1299.0,K,0.51,0.004,0.019,0.012,4.2,11.745063,0.79757977
75,6278762,5046,11.54,179.64,74,0.76,0.09,144.0,0.0,-0.37,0.94,0.002,0.011,0.003,4.56,0.739,0.748,4538.0,K,0.99,0.003,0.009,0.006,0.0,,
