,KIC,Teff,age,dnu,eTeff,ednu,efeh,enumax,feh,loage,lomodlogg,lomodmass,lomodrad,modlogg,modmass,modrad,numax,source,upage,upmodlogg,upmodmass,upmodrad,G,bprp,nus*,l_nus*,u_nus*,cosi,l_cosi,u_cosi,i,l_i,u_i,nus,l_nus,u_nus,P,l_P,u_P,vsini,l_vsini,u_vsini,fit_numax,efit_numax,fit_d01,efit_d01,fit_d02,efit_d02,fit_epsilon,efit_epsilon,V1,eV1,V2,eV2,flag,chainflag,flagch,ebprp
45,9414417,6253,2.6491,60.115,75,0.024,0.1,6.1,-0.13,0.1757,0.0055,0.0304,0.018000000000000002,4.0161,1.3987,1.9174,1155.3,L,0.1597,0.0055,0.019,0.021,9.516585000000001,0.66290855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.004523555408625993
46,9812850,6321,2.713,64.74600000000001,77,0.067,0.1,9.1,-0.07,0.3513,0.0077,0.0494,0.024,4.0535,1.3683,1.8214,1255.2,L,0.4631,0.0088,0.0399,0.015,9.374328,0.64471245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.007777169708976375
47,9955598,5457,6.2902,153.283,77,0.028999999999999998,0.1,21.2,0.05,1.8365,0.0066,0.0304,0.012,4.4968,0.899,0.8857,3616.8,L,1.9483,0.0055,0.0399,0.012,9.391091000000001,0.95841694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.004044988380313536
48,9965715,5860,2.9206,97.236,180,0.040999999999999995,0.18,9.2,-0.44,0.7506,0.0077,0.0494,0.015,4.2724,1.2087,1.3266,2079.3,L,0.8624,0.0088,0.0399,0.015,9.099501,0.6507368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.009815972682260178
49,10068307,6132,2.3616,53.945,77,0.019,0.1,2.8,-0.23,0.0958,0.0044,0.0209,0.018000000000000002,3.9666,1.469,2.0823,995.1,L,0.0798,0.0044,0.0095,0.018000000000000002,8.101827,0.69298553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.006187303659918112
50,10079226,5949,3.0643,116.345,77,0.059000000000000004,0.1,47.7,0.11,0.6548,0.0055,0.0304,0.012,4.3659,1.1194,1.1466,2653.0,L,0.7027,0.0055,0.019,0.009000000000000001,9.990819,0.76718044,0.651434877736059,0.07930431551664308,0.06915630644966764,0.25672574661197883,0.18155046865611013,0.3627467035288809,1.3111634535414898,0.40843763192615945,0.18438660799782536,0.689374596765141,0.08140327534929659,0.14894980865197227,16.789237852229597,2.983038235497091,2.247966152240995,3.265012257746741,0.39747574332205904,0.34661360018574383,2655.144469310952,8.714919575319982,0.4707623339358892,0.0027805025615507684,0.08187109700226042,0.003018684098228974,1.3504511372519667,0.0013937038609057595,1.2377361878191202,0.057666759949347,0.741000988149072,0.04501084961109292,,0.0,,0.0031374657541831832
51,10162436,6146,2.4574,55.725,77,0.035,0.1,4.0,-0.16,0.1118,0.0055,0.0095,0.018000000000000002,3.9809,1.4481,2.0373,1052.0,L,0.0958,0.0055,0.0209,0.021,8.514332000000001,0.6866760000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.004979138574302521
52,10454113,6177,2.8886,105.06299999999999,77,0.031,0.1,8.2,-0.07,0.527,0.0055,0.0304,0.009000000000000001,4.3142,1.1688,1.2456,2357.2,L,0.5589999999999999,0.0055,0.0209,0.009000000000000001,8.549732,0.7091837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.004717425200787388
53,10516096,5964,7.0089,84.42399999999999,77,0.022000000000000002,0.1,4.6,-0.11,1.4533,0.0099,0.0608,0.021,4.169,1.0586,1.3986,1689.8,L,1.3255,0.011000000000000001,0.0494,0.024,9.414386,0.7613535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.006089210568475316
54,10644253,6045,2.3936,123.08,77,0.055999999999999994,0.1,21.3,0.06,0.9582,0.0066,0.0399,0.012,4.3956,1.0985,1.0987,2899.7,L,1.1179,0.0077,0.0399,0.015,9.124989999999999,0.7522420999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty,,-1.0,0.004775817997145447
